nama_asli,kalori,protein,kategori_asal,saran_ai,mudah_dicerna,tinggi_protein,tinggi_kalori,tinggi_serat,rendah_lemak,laktosa,asam,pedas,berminyak,kafein
Dada Ayam Fillet,110,23.0,Chicken,Protein tinggi dan rendah lemak; baik untuk menjaga massa otot dan pemulihan tubuh.,ya,ya,tidak,tidak,ya,tidak,tidak,tidak,tidak,tidak
Paha Ayam,150,19.0,Chicken,Tekstur lebih lembut dan mengandung energi lebih tinggi; cocok untuk kebutuhan kalori tambahan.,ya,ya,tidak,tidak,tidak,tidak,tidak,tidak,tidak,tidak
Daging Kambing,143,27.0,Goat,Tinggi protein dan zat besi; baik dikonsumsi secukupnya dengan olahan rendah minyak.,tidak,ya,tidak,tidak,tidak,tidak,tidak,tidak,tidak,tidak
Ikan Patin,145,15.0,Fish,Mengandung lemak sehat dan protein; cocok dikukus atau dibakar.,tidak,ya,tidak,tidak,tidak,tidak,tidak,tidak,tidak,tidak
Ikan Gurame,125,18.0,Fish,Tekstur lembut dan mudah dikonsumsi; cocok untuk menu harian.,ya,ya,tidak,tidak,ya,tidak,tidak,tidak,tidak,tidak
Ikan Nila,128,26.0,Fish,Protein ikan air tawar yang tinggi; praktis diolah dengan cara dibakar atau dikukus.,ya,ya,tidak,tidak,ya,tidak,tidak,tidak,tidak,tidak
Hati Ayam,116,17.0,Chicken,Kaya zat besi dan vitamin A; baik untuk membantu memenuhi kebutuhan nutrisi harian.,tidak,ya,tidak,tidak,tidak,tidak,tidak,tidak,tidak,tidak
Telur,150,13.0,Egg,Sumber protein yang mudah dikonsumsi dan membantu pemulihan tubuh.,ya,ya,tidak,tidak,tidak,tidak,tidak,tidak,tidak,tidak
Beras Merah,110,2.6,Rice,Serat lebih tinggi dibanding nasi putih; membantu rasa kenyang lebih lama.,tidak,tidak,tidak,ya,tidak,tidak,tidak,tidak,tidak,tidak
Singkong Putih,160,1.4,Carbo,Sumber energi alternatif selain nasi dan mudah ditemukan di pasar tradisional.,tidak,tidak,tidak,ya,tidak,tidak,tidak,tidak,tidak,tidak
