nama_asli,kalori,protein,kategori_asal,saran_ai,mudah_dicerna,tinggi_serat,tinggi_air,tinggi_protein,tinggi_kalori,laktosa,asam,kafein
Bayam Hijau,23,2.4,Vegetable,Kaya zat besi dan serat; baik untuk kebutuhan nutrisi harian.,ya,ya,tidak,tidak,tidak,tidak,tidak,tidak
Labu Siam,19,0.8,Vegetable,Rendah kalori dan mengandung banyak air; cocok untuk menu ringan.,ya,tidak,ya,tidak,tidak,tidak,tidak,tidak
Kacang Merah,127,8.7,Nut,Tinggi serat dan protein nabati; membantu rasa kenyang lebih lama.,tidak,ya,tidak,ya,ya,tidak,tidak,tidak
Semangka,30,0.6,Fruit,Kandungan air tinggi; membantu menjaga hidrasi tubuh.,ya,tidak,ya,tidak,tidak,tidak,tidak,tidak
Jambu Biji Merah,68,2.6,Fruit,Kaya vitamin C dan serat; baik untuk daya tahan tubuh.,tidak,ya,tidak,tidak,tidak,tidak,tidak,tidak
Pepaya,43,0.5,Fruit,Mengandung enzim papain dan serat; baik untuk pencernaan.,ya,ya,ya,tidak,tidak,tidak,tidak,tidak
Susu Sapi Murni,62,3.3,Milk,Sumber kalsium dan protein; baik untuk kebutuhan tulang dan otot.,tidak,tidak,tidak,tidak,tidak,ya,tidak,tidak
Pisang,89,1.1,Fruit,Mengandung kalium dan karbohidrat alami untuk energi harian.,ya,tidak,tidak,tidak,tidak,tidak,tidak,tidak
Brokoli,34,2.8,Vegetable,Kaya serat dan antioksidan; baik untuk pola makan sehat.,tidak,ya,tidak,tidak,tidak,tidak,tidak,tidak
Wortel,41,0.9,Vegetable,Mengandung beta-karoten yang baik untuk kesehatan mata.,ya,tidak,tidak,tidak,tidak,tidak,tidak,tidak
Jeruk,47,0.9,Fruit,Sumber vitamin C alami untuk kebutuhan harian.,tidak,tidak,ya,tidak,tidak,tidak,ya,tidak
Kacang Hijau,115,7.0,Nut,Sumber protein nabati dan serat; cocok untuk tambahan energi.,tidak,ya,tidak,ya,tidak,tidak,tidak,tidak
Pare Hijau,17,1.0,Vegetable,Rendah kalori dan mengandung serat yang baik untuk pola makan sehat.,tidak,ya,tidak,tidak,tidak,tidak,tidak,tidak
Daun Kelor,64,9.4,Vegetable,Mengandung vitamin dan mineral yang cukup tinggi.,tidak,ya,tidak,ya,tidak,tidak,tidak,tidak
Daun Pepaya,79,8.0,Vegetable,Mengandung serat dan biasa dikonsumsi sebagai sayuran pendamping.,tidak,ya,tidak,ya,tidak,tidak,tidak,tidak
Jamur Tiram,33,3.3,Vegetable,Rendah kalori dan mengandung serat serta protein nabati.,tidak,ya,tidak,tidak,tidak,tidak,tidak,tidak
Mentimun,15,0.7,Vegetable,Kandungan air tinggi dan menyegarkan untuk menu harian.,ya,tidak,ya,tidak,tidak,tidak,tidak,tidak
Tomat Merah,18,0.9,Vegetable,Mengandung vitamin dan antioksidan alami.,tidak,tidak,ya,tidak,tidak,tidak,ya,tidak
Melon Orange,34,0.8,Fruit,Mengandung vitamin A dan air yang cukup tinggi.,ya,tidak,ya,tidak,tidak,tidak,tidak,tidak
Sirsak,66,1.0,Fruit,Buah dengan kandungan vitamin dan serat yang baik.,tidak,ya,ya,tidak,tidak,tidak,ya,tidak
Buah Alpukat,160,2.0,Fruit,Mengandung lemak sehat dan serat; baik untuk tambahan energi.,tidak,ya,tidak,tidak,ya,tidak,tidak,tidak
Kangkung,19,2.6,Vegetable,Sayuran hijau yang mengandung zat besi dan serat.,tidak,ya,tidak,tidak,tidak,tidak,tidak,tidak
Sawi Hijau,13,1.5,Vegetable,Rendah kalori dan cocok untuk menu sayuran harian.,ya,tidak,ya,tidak,tidak,tidak,tidak,tidak
Terong,25,1.0,Vegetable,Mengandung serat dan antioksidan alami.,tidak,ya,tidak,tidak,tidak,tidak,tidak,tidak
Buah Naga,51,0.8,Fruit,Tinggi serat dan mengandung berbagai vitamin alami.,tidak,ya,tidak,tidak,tidak,tidak,tidak,tidak
Mangga,60,0.8,Fruit,Mengandung vitamin A dan C untuk kebutuhan nutrisi harian.,tidak,tidak,tidak,tidak,tidak,tidak,ya,tidak
Susu Kedelai,54,3.3,Milk,Sumber protein nabati cair yang rendah laktosa.,ya,tidak,tidak,tidak,tidak,tidak,tidak,tidak
Apel Merah,52,0.3,Fruit,Mengandung serat dan cocok untuk camilan sehat.,ya,ya,tidak,tidak,tidak,tidak,tidak,tidak
